un temps,a beat
des enceintes,speakers
des musiciens,musicians
fort,loud
l’harmonie,harmony
la danse,the dance
la gamme,a scale
la musique,the music
la scène,the stage
la voix,the voice
le chant,singing
le public,the audience
le pupitre,the music stand
le rythme,the rhythm
le solfège,music theory
le volume,the volume
les paroles,the lyrics
les percussions,percussion
un accord,a chord
un amplificateur,an amplifier
un archet,a bow
un batteur,a drummer
un casque audio,headphones
un cd,a cd
un concert,a concert
un disque,a record
un enregistrement,a recording
un enregistrement numérique,a digital recording
un label discographique,a record label
un lecteur cd,a cd player
un lecteur mp3,an mp3 player
un métronome,a metronome
un micro,a microphone
un morceau,a track
un opéra,an opera
un orchestre,an orchestra
un pupitre à musique,a music stand
un quatuor à cordes,a string quartet
un solo,a solo
un spectacle,a show
un studio d’enregistrement,a recording studio
un tourne-disque,a record player
une chaîne hi-fi,a hi-fi system
une chaîne stéréo,stereo sound system
une chanson,a song
une composition,a composition
une corde,a string
une fanfare,a brass band
une fausse note,a wrong note
une mélodie,a melody
une note,a note
une partition,a score
une répétition,a rehearsal
une rhapsodie,a rhapsody
une table de mixage,a mixing deck
une touche,a key
une tournée,a tour
